"";"genotype";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131_A";1;0,01;0,01;"5e-04";"0.0027 (0)";"0.0027 (0)";"0.0027 (0)";"0.0027 (0)"
"2";"131_A";25;0,01;0,01;"5e-04";"0.0074 (0.0016)";"0.008 (0.0019)";"0.0089 (0.0019)";"0.0107 (0.0024)"
"3";"131_A";50;0,01;0,01;"5e-04";"0.0121 (0.0021)";"0.0146 (0.0023)";"0.0193 (0.0043)";"0.0317 (0.0109)"
"4";"131_A";75;0,01;0,01;"5e-04";"0.0155 (0.0032)";"0.0217 (0.0035)";"0.0381 (0.0098)";"0.0522 (0.0202)"
"5";"131_A";100;0,01;0,01;"5e-04";"0.0182 (0.0041)";"0.0286 (0.006)";"0.054 (0.0137)";"0.0584 (0.0256)"
"6";"131_A";125;0,01;0,01;"5e-04";"0.021 (0.0043)";"0.0367 (0.0102)";"0.0643 (0.0168)";"0.0608 (0.0255)"
"7";"131_A";150;0,01;0,01;"5e-04";"0.022 (0.0048)";"0.0448 (0.0138)";"0.0686 (0.0178)";"0.0616 (0.0259)"
"8";"131_A";175;0,01;0,01;"5e-04";"0.0243 (0.0054)";"0.0528 (0.0157)";"0.0719 (0.0198)";"0.0631 (0.0276)"
"9";"131_A";200;0,01;0,01;"5e-04";"0.0244 (0.0047)";"0.0569 (0.0191)";"0.0725 (0.0211)";"0.0648 (0.0296)"
"10";"131_B";1;0,01;0,01;"5e-04";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)"
"11";"131_B";25;0,01;0,01;"5e-04";"0.0085 (0.0019)";"0.0083 (0.0016)";"0.0082 (0.0013)";"0.0083 (0.002)"
"12";"131_B";50;0,01;0,01;"5e-04";"0.013 (0.0021)";"0.0119 (0.0026)";"0.0111 (0.002)";"0.0088 (0.0024)"
"13";"131_B";75;0,01;0,01;"5e-04";"0.0155 (0.0024)";"0.0143 (0.0034)";"0.0116 (0.0023)";"0.0072 (0.0031)"
"14";"131_B";100;0,01;0,01;"5e-04";"0.0193 (0.0035)";"0.0164 (0.0039)";"0.0095 (0.0027)";"0.0067 (0.0051)"
"15";"131_B";125;0,01;0,01;"5e-04";"0.0208 (0.0039)";"0.0177 (0.0051)";"0.0083 (0.0036)";"0.0072 (0.0048)"
"16";"131_B";150;0,01;0,01;"5e-04";"0.0225 (0.0039)";"0.0167 (0.0047)";"0.0072 (0.004)";"0.0063 (0.0048)"
"17";"131_B";175;0,01;0,01;"5e-04";"0.0232 (0.0038)";"0.0164 (0.0041)";"0.0078 (0.0051)";"0.0066 (0.0045)"
"18";"131_B";200;0,01;0,01;"5e-04";"0.0253 (0.004)";"0.0148 (0.0042)";"0.008 (0.0057)";"0.006 (0.0043)"
"19";"131_C1";1;0,01;0,01;"5e-04";"0.0041 (0)";"0.0041 (0)";"0.0041 (0)";"0.0041 (0)"
"20";"131_C1";25;0,01;0,01;"5e-04";"0.0102 (0.0018)";"0.0102 (0.0019)";"0.0112 (0.0019)";"0.0115 (0.0022)"
"21";"131_C1";50;0,01;0,01;"5e-04";"0.0152 (0.0026)";"0.0166 (0.0034)";"0.0211 (0.005)";"0.0284 (0.0092)"
"22";"131_C1";75;0,01;0,01;"5e-04";"0.0187 (0.0027)";"0.0246 (0.0053)";"0.035 (0.0122)";"0.0431 (0.0154)"
"23";"131_C1";100;0,01;0,01;"5e-04";"0.0212 (0.0033)";"0.0321 (0.0081)";"0.0477 (0.0203)";"0.046 (0.0164)"
"24";"131_C1";125;0,01;0,01;"5e-04";"0.0234 (0.0049)";"0.0384 (0.011)";"0.0523 (0.0241)";"0.0464 (0.0154)"
"25";"131_C1";150;0,01;0,01;"5e-04";"0.0255 (0.0054)";"0.044 (0.0127)";"0.0547 (0.0244)";"0.0467 (0.0167)"
"26";"131_C1";175;0,01;0,01;"5e-04";"0.027 (0.005)";"0.0494 (0.0178)";"0.0566 (0.0244)";"0.0467 (0.0153)"
"27";"131_C1";200;0,01;0,01;"5e-04";"0.0283 (0.0052)";"0.0538 (0.0187)";"0.0568 (0.0247)";"0.0476 (0.0162)"
"28";"131_C2";1;0,01;0,01;"5e-04";"0.0106 (0)";"0.0106 (0)";"0.0106 (0)";"0.0106 (0)"
"29";"131_C2";25;0,01;0,01;"5e-04";"0.0134 (0.0018)";"0.0141 (0.002)";"0.018 (0.0036)";"0.0242 (0.0044)"
"30";"131_C2";50;0,01;0,01;"5e-04";"0.0149 (0.0024)";"0.0206 (0.003)";"0.0406 (0.0104)";"0.0849 (0.0176)"
"31";"131_C2";75;0,01;0,01;"5e-04";"0.0174 (0.0029)";"0.0303 (0.0048)";"0.0834 (0.0243)";"0.1439 (0.0288)"
"32";"131_C2";100;0,01;0,01;"5e-04";"0.019 (0.0046)";"0.0446 (0.0101)";"0.1237 (0.0411)";"0.1589 (0.0354)"
"33";"131_C2";125;0,01;0,01;"5e-04";"0.0211 (0.0042)";"0.0611 (0.0157)";"0.1418 (0.0509)";"0.1611 (0.0317)"
"34";"131_C2";150;0,01;0,01;"5e-04";"0.0239 (0.005)";"0.0803 (0.0204)";"0.1484 (0.0528)";"0.162 (0.0346)"
"35";"131_C2";175;0,01;0,01;"5e-04";"0.0252 (0.0038)";"0.0956 (0.022)";"0.1529 (0.0536)";"0.1617 (0.0316)"
"36";"131_C2";200;0,01;0,01;"5e-04";"0.0261 (0.0046)";"0.1063 (0.0248)";"0.1549 (0.0526)";"0.1643 (0.0301)"
