"";"genotype";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131_A";1;0,01;0,01;"5e-04";"0.0027 (0)";"0.0027 (0)";"0.0027 (0)";"0.0027 (0)"
"2";"131_A";25;0,01;0,01;"5e-04";"0.0068 (0.0016)";"0.0071 (0.0016)";"0.0082 (0.0019)";"0.0096 (0.0025)"
"3";"131_A";50;0,01;0,01;"5e-04";"0.0101 (0.0026)";"0.0127 (0.0034)";"0.0165 (0.0047)";"0.0232 (0.0075)"
"4";"131_A";75;0,01;0,01;"5e-04";"0.0123 (0.0031)";"0.0185 (0.0045)";"0.0275 (0.0089)";"0.0341 (0.0146)"
"5";"131_A";100;0,01;0,01;"5e-04";"0.0143 (0.0035)";"0.0243 (0.0066)";"0.0351 (0.0119)";"0.037 (0.0149)"
"6";"131_A";125;0,01;0,01;"5e-04";"0.0167 (0.0038)";"0.0293 (0.0083)";"0.0388 (0.013)";"0.0385 (0.0165)"
"7";"131_A";150;0,01;0,01;"5e-04";"0.0183 (0.0039)";"0.0341 (0.0112)";"0.0407 (0.0129)";"0.0384 (0.016)"
"8";"131_A";175;0,01;0,01;"5e-04";"0.0193 (0.0045)";"0.0379 (0.0122)";"0.0414 (0.0134)";"0.0397 (0.0169)"
"9";"131_A";200;0,01;0,01;"5e-04";"0.0203 (0.0047)";"0.0408 (0.0138)";"0.0431 (0.0146)";"0.0416 (0.0181)"
"10";"131_B";1;0,01;0,01;"5e-04";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)"
"11";"131_B";25;0,01;0,01;"5e-04";"0.0077 (0.0012)";"0.0074 (0.0019)";"0.0071 (0.001)";"0.007 (0.0014)"
"12";"131_B";50;0,01;0,01;"5e-04";"0.0112 (0.002)";"0.0109 (0.0022)";"0.0097 (0.0021)";"0.0075 (0.0016)"
"13";"131_B";75;0,01;0,01;"5e-04";"0.014 (0.003)";"0.0129 (0.0025)";"0.0097 (0.0024)";"0.005 (0.0027)"
"14";"131_B";100;0,01;0,01;"5e-04";"0.0164 (0.0036)";"0.014 (0.0033)";"0.0075 (0.0028)";"0.0048 (0.0031)"
"15";"131_B";125;0,01;0,01;"5e-04";"0.018 (0.0038)";"0.0145 (0.0035)";"0.0068 (0.0031)";"0.0047 (0.0031)"
"16";"131_B";150;0,01;0,01;"5e-04";"0.0197 (0.0042)";"0.0145 (0.004)";"0.0059 (0.0032)";"0.0045 (0.003)"
"17";"131_B";175;0,01;0,01;"5e-04";"0.0206 (0.004)";"0.0134 (0.0041)";"0.006 (0.0036)";"0.0049 (0.0038)"
"18";"131_B";200;0,01;0,01;"5e-04";"0.0208 (0.0043)";"0.0123 (0.0038)";"0.0066 (0.005)";"0.0046 (0.0031)"
"19";"131_C1";1;0,01;0,01;"5e-04";"0.0041 (0)";"0.0041 (0)";"0.0041 (0)";"0.0041 (0)"
"20";"131_C1";25;0,01;0,01;"5e-04";"0.0102 (0.0017)";"0.0105 (0.0016)";"0.0111 (0.0017)";"0.0127 (0.0027)"
"21";"131_C1";50;0,01;0,01;"5e-04";"0.0151 (0.0024)";"0.0168 (0.003)";"0.0199 (0.0037)";"0.0259 (0.0079)"
"22";"131_C1";75;0,01;0,01;"5e-04";"0.0191 (0.0037)";"0.0232 (0.0047)";"0.0295 (0.0073)";"0.0355 (0.0127)"
"23";"131_C1";100;0,01;0,01;"5e-04";"0.0223 (0.0038)";"0.0294 (0.0064)";"0.0362 (0.0105)";"0.0373 (0.0148)"
"24";"131_C1";125;0,01;0,01;"5e-04";"0.0249 (0.0043)";"0.034 (0.0067)";"0.0385 (0.0112)";"0.039 (0.0152)"
"25";"131_C1";150;0,01;0,01;"5e-04";"0.0257 (0.0043)";"0.0378 (0.0071)";"0.0411 (0.0109)";"0.0403 (0.0162)"
"26";"131_C1";175;0,01;0,01;"5e-04";"0.0277 (0.005)";"0.0403 (0.0098)";"0.0417 (0.012)";"0.0409 (0.0168)"
"27";"131_C1";200;0,01;0,01;"5e-04";"0.029 (0.0059)";"0.0427 (0.011)";"0.0421 (0.0132)";"0.0404 (0.0158)"
"28";"131_C2";1;0,01;0,01;"5e-04";"0.0106 (0)";"0.0106 (0)";"0.0106 (0)";"0.0106 (0)"
"29";"131_C2";25;0,01;0,01;"5e-04";"0.0272 (0.003)";"0.031 (0.0038)";"0.04 (0.0046)";"0.0565 (0.0069)"
"30";"131_C2";50;0,01;0,01;"5e-04";"0.0418 (0.0051)";"0.0593 (0.0087)";"0.1138 (0.0135)";"0.216 (0.0253)"
"31";"131_C2";75;0,01;0,01;"5e-04";"0.0547 (0.0069)";"0.0983 (0.0133)";"0.229 (0.0231)";"0.3433 (0.039)"
"32";"131_C2";100;0,01;0,01;"5e-04";"0.0646 (0.0072)";"0.1433 (0.0188)";"0.3166 (0.0276)";"0.377 (0.0419)"
"33";"131_C2";125;0,01;0,01;"5e-04";"0.0739 (0.0074)";"0.1887 (0.0227)";"0.3524 (0.0303)";"0.385 (0.0395)"
"34";"131_C2";150;0,01;0,01;"5e-04";"0.0805 (0.0073)";"0.2279 (0.0246)";"0.3669 (0.0351)";"0.3855 (0.041)"
"35";"131_C2";175;0,01;0,01;"5e-04";"0.0874 (0.0086)";"0.2581 (0.0284)";"0.373 (0.036)";"0.3823 (0.0437)"
"36";"131_C2";200;0,01;0,01;"5e-04";"0.0936 (0.01)";"0.2783 (0.0274)";"0.3739 (0.0372)";"0.3854 (0.0457)"
