"";"ST131_sum";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131";1;0,01;0,1;"5e-04";"0.003 (7e-04)";"0.003 (5e-04)";"0.0029 (4e-04)";"0.0029 (4e-04)"
"2";"131";25;0,01;0,1;"5e-04";"0.0075 (0.0017)";"0.0082 (0.0021)";"0.0094 (0.0024)";"0.012 (0.004)"
"3";"131";50;0,01;0,1;"5e-04";"0.0121 (0.0028)";"0.0146 (0.0045)";"0.0212 (0.0086)";"0.0363 (0.0214)"
"4";"131";75;0,01;0,1;"5e-04";"0.0152 (0.0035)";"0.0216 (0.0074)";"0.0368 (0.0192)";"0.0573 (0.0374)"
"5";"131";100;0,01;0,1;"5e-04";"0.0178 (0.0044)";"0.0275 (0.01)";"0.0473 (0.0262)";"0.0656 (0.0425)"
"6";"131";125;0,01;0,1;"5e-04";"0.0204 (0.0048)";"0.0322 (0.0129)";"0.0535 (0.03)";"0.069 (0.0449)"
"7";"131";150;0,01;0,1;"5e-04";"0.0219 (0.005)";"0.0362 (0.0149)";"0.057 (0.0324)";"0.0703 (0.0457)"
"8";"131";175;0,01;0,1;"5e-04";"0.0237 (0.0055)";"0.0384 (0.0161)";"0.0582 (0.0327)";"0.0706 (0.0457)"
"9";"131";200;0,01;0,1;"5e-04";"0.0247 (0.0062)";"0.0395 (0.0164)";"0.0592 (0.0324)";"0.0711 (0.0457)"
"10";"69";1;0,01;0,1;"5e-04";"0.0131 (0)";"0.0131 (0)";"0.0131 (0)";"0.0131 (0)"
"11";"69";25;0,01;0,1;"5e-04";"0.0351 (0.0028)";"0.0336 (0.003)";"0.0347 (0.0031)";"0.0333 (0.003)"
"12";"69";50;0,01;0,1;"5e-04";"0.0526 (0.0055)";"0.0525 (0.005)";"0.0489 (0.0053)";"0.0424 (0.0053)"
"13";"69";75;0,01;0,1;"5e-04";"0.0647 (0.0063)";"0.0631 (0.0057)";"0.0569 (0.005)";"0.0432 (0.0069)"
"14";"69";100;0,01;0,1;"5e-04";"0.0736 (0.0076)";"0.0708 (0.0058)";"0.0584 (0.0067)";"0.045 (0.0092)"
"15";"69";125;0,01;0,1;"5e-04";"0.0826 (0.0056)";"0.0767 (0.0079)";"0.0596 (0.0072)";"0.0458 (0.009)"
"16";"69";150;0,01;0,1;"5e-04";"0.0864 (0.0081)";"0.0809 (0.0082)";"0.0615 (0.0067)";"0.0464 (0.0082)"
"17";"69";175;0,01;0,1;"5e-04";"0.0911 (0.0098)";"0.0832 (0.0089)";"0.064 (0.0063)";"0.0463 (0.0097)"
"18";"69";200;0,01;0,1;"5e-04";"0.0986 (0.0084)";"0.0862 (0.0093)";"0.067 (0.0066)";"0.0464 (0.0106)"
"19";"73";1;0,01;0,1;"5e-04";"0.1654 (0)";"0.1654 (0)";"0.1654 (0)";"0.1654 (0)"
"20";"73";25;0,01;0,1;"5e-04";"0.1559 (0.0077)";"0.1583 (0.0059)";"0.1575 (0.008)";"0.1523 (0.0054)"
"21";"73";50;0,01;0,1;"5e-04";"0.152 (0.0107)";"0.1494 (0.0072)";"0.1405 (0.0066)";"0.1163 (0.0091)"
"22";"73";75;0,01;0,1;"5e-04";"0.1495 (0.0115)";"0.1418 (0.0091)";"0.1184 (0.0112)";"0.085 (0.0139)"
"23";"73";100;0,01;0,1;"5e-04";"0.143 (0.0118)";"0.1323 (0.0087)";"0.1026 (0.013)";"0.0714 (0.0146)"
"24";"73";125;0,01;0,1;"5e-04";"0.1403 (0.0115)";"0.1264 (0.0091)";"0.0971 (0.0154)";"0.0682 (0.0133)"
"25";"73";150;0,01;0,1;"5e-04";"0.1377 (0.0104)";"0.119 (0.0097)";"0.094 (0.0156)";"0.0659 (0.0151)"
"26";"73";175;0,01;0,1;"5e-04";"0.139 (0.0106)";"0.1141 (0.0108)";"0.0902 (0.0184)";"0.0658 (0.0146)"
"27";"73";200;0,01;0,1;"5e-04";"0.1353 (0.0085)";"0.1128 (0.0115)";"0.0898 (0.0175)";"0.0656 (0.0141)"
"28";"95";1;0,01;0,1;"5e-04";"0.1068 (0)";"0.1068 (0)";"0.1068 (0)";"0.1068 (0)"
"29";"95";25;0,01;0,1;"5e-04";"0.1024 (0.0047)";"0.1019 (0.0052)";"0.1029 (0.0066)";"0.0972 (0.0069)"
"30";"95";50;0,01;0,1;"5e-04";"0.0981 (0.0065)";"0.0982 (0.007)";"0.091 (0.0083)";"0.0749 (0.0078)"
"31";"95";75;0,01;0,1;"5e-04";"0.0936 (0.0082)";"0.0914 (0.0076)";"0.0773 (0.0082)";"0.0544 (0.0101)"
"32";"95";100;0,01;0,1;"5e-04";"0.0916 (0.0077)";"0.0853 (0.009)";"0.0681 (0.0103)";"0.0456 (0.0112)"
"33";"95";125;0,01;0,1;"5e-04";"0.0902 (0.008)";"0.0788 (0.0081)";"0.0612 (0.0109)";"0.0418 (0.0114)"
"34";"95";150;0,01;0,1;"5e-04";"0.0896 (0.008)";"0.0767 (0.008)";"0.0581 (0.0098)";"0.0415 (0.012)"
"35";"95";175;0,01;0,1;"5e-04";"0.088 (0.008)";"0.0752 (0.0087)";"0.0575 (0.0103)";"0.0417 (0.0109)"
"36";"95";200;0,01;0,1;"5e-04";"0.0883 (0.0106)";"0.0735 (0.0091)";"0.0565 (0.011)";"0.042 (0.011)"
